"ID","Y","T","F"
1,1.09463606379195,0,1
2,0.0281073771552318,0,1
3,1.6543061110225,0,0
4,3.83179620051893,1,1
5,2.65427252477491,1,1
6,1.23749095003188,1,1
7,0.136000078233437,1,0
8,0.506639943419484,0,1
9,2.98583741934142,1,1
10,4.33681528222031,1,1
11,0.436256970140815,0,0
12,0.696423404355744,1,0
13,0.854687919311831,0,0
14,0.616054016428218,1,0
15,0.420018283252696,0,1
16,0.889205383778059,1,1
17,2.03928274766446,0,1
18,0.515693993173759,1,1
19,0.0270610215611966,0,1
20,2.86991156866707,1,1
21,1.12966592384302,0,1
22,1.63448186939199,1,1
23,3.74977953851827,1,1
24,-1.03478524113324,0,1
25,0.744516508258132,0,1
26,4.33848391816733,1,1
27,-1.21988775664192,0,1
28,1.36404390125842,1,1
29,0.297771046335484,0,1
30,-1.22624694019856,0,1
31,0.371488437931993,0,1
32,2.62856026892323,1,1
33,3.14933217323983,1,0
34,1.36057054934117,1,1
35,1.63395384801408,1,1
36,2.47335083544213,1,1
37,-0.236244063619048,0,1
38,0.707781666693578,1,0
39,-0.00459825654262469,0,0
40,2.07072682618148,0,0
41,-0.631421965732162,0,1
42,1.43290706066023,0,0
43,0.850399197779324,0,1
44,-0.905609553622659,0,1
45,2.11229230392442,1,1
46,1.91166815168653,0,1
47,0.572290414565176,0,0
48,0.861909242802166,0,0
49,4.45632569860122,1,0
50,2.76263764583443,1,1
51,3.33705167103189,1,1
52,-1.01136686615607,1,0
53,2.9192111503626,1,0
54,0.277706973405127,1,1
55,-0.610440527424779,0,1
56,0.0326872620156839,0,0
57,1.23321889092231,0,0
58,0.96525151284837,1,0
59,0.491999055379199,0,1
60,2.84119953993724,1,1
61,1.02960020991592,0,0
62,2.93295561907993,1,1
63,-0.938808656736454,0,0
64,2.2207940517448,0,0
65,0.553081385573371,0,1
66,3.20230361800925,1,1
67,1.67224491409545,1,0
68,2.46684215895394,1,1
69,-0.785990684290801,0,1
70,1.0343329059373,0,0
71,-1.37000906271732,0,0
72,0.884662013851374,1,0
73,1.6188488843814,1,0
74,-1.18810911650311,0,0
75,-0.0308290908036132,0,0
76,0.176159117612812,0,1
77,-0.405650010650489,0,1
78,2.30120261864339,0,0
79,1.95332066248076,0,0
80,1.60175144925927,1,1
81,-0.05957971788668,0,0
82,1.47744729905845,0,1
83,-0.146193024653535,0,1
84,2.42339590147186,1,0
85,2.79218520356682,1,1
86,0.776096956953463,0,1
87,1.36257813977926,0,1
88,-0.592116756429314,0,1
89,2.410895543543,0,1
90,3.41733654317191,1,0
91,0.706321419674405,0,0
92,1.21066197432805,1,0
93,3.5462290244569,1,1
94,2.77994174193742,1,1
95,1.40404062188335,1,0
96,0.172538894615348,0,1
97,0.25430185893739,0,1
98,-0.200459645150221,0,1
99,-0.621428067109242,0,0
100,1.16730875587798,1,0
101,2.71519222575603,1,1
102,-0.0135876309515389,0,1
103,0.276685706134775,1,0
104,2.58935655342133,1,0
105,2.54237328792335,1,1
106,1.12752662960444,1,0
107,2.9967879694663,0,0
108,-0.00173334698664029,0,0
109,-0.0317823594832153,0,0
110,2.20065820519023,1,1
111,1.00115663489105,1,0
112,2.1643877188453,1,1
113,1.14162366369282,0,0
114,0.414100744322783,0,1
115,1.94146558302204,0,1
116,2.40631873988563,1,0
117,1.21082061733647,1,1
118,2.72194819084988,1,1
119,3.09197218307578,1,1
120,1.18429377464401,0,0
121,-1.80714537746831,0,1
122,1.34148083748613,0,0
123,2.00250910475164,1,1
124,1.10595727409853,0,0
125,0.552151742882801,0,1
126,2.33467687620723,1,1
127,1.8784304188204,1,0
128,2.19551847914425,1,0
129,2.66826850884665,1,0
130,2.25725013390939,1,0
131,0.191935277732553,0,1
132,0.513117880081377,0,0
133,1.89334691165381,1,1
134,1.48468132938195,1,0
135,-0.272602343215554,0,1
136,2.19602818284314,1,0
137,1.27375796975794,0,1
138,5.1131464967638,1,1
139,1.05938381536256,0,1
140,-0.705029451988539,0,0
141,2.26357874693916,1,0
142,-0.928676725103852,0,1
143,2.22746074711663,1,1
144,-0.474452471131901,0,0
145,1.89601268536209,1,1
146,2.26852023509156,1,0
147,1.2528385498334,0,0
148,1.46486891544755,1,1
149,1.36149771887566,1,0
150,1.98752579517862,0,0
151,2.83085502685207,1,0
152,2.89504431697693,1,1
153,-0.473842260601466,0,1
154,0.536311524092052,0,0
155,2.0404329672994,1,0
156,2.50885222440174,1,0
157,1.28322777582448,0,0
158,2.43453219451728,0,0
159,0.0124556003660149,0,1
160,3.25373431603719,1,1
161,0.73958054103443,0,1
162,0.76011930507004,0,0
163,1.51363006867149,0,0
164,1.62635642744026,1,0
165,0.522851920637044,0,0
166,2.41232216092336,0,0
167,0.322420312097184,0,0
168,2.134040243933,0,1
169,-0.673104126498268,0,0
170,1.95030850662373,1,0
171,1.30275312092114,1,1
172,1.76333418607086,1,0
173,-0.283235849095964,0,1
174,2.71235228994802,1,0
175,0.0162199795903727,0,0
176,2.57774038970111,1,1
177,3.86536206313854,1,1
